json_file,window_index,window_text,sentiment_label,sentiment_score
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,0,I don't really have any complaints with the choices that,neutral,0.6967774033546448
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,1,were present. I'd say some of them could have been,neutral,0.7864034175872803
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,2,a bit more detailed in what they were trying to,neutral,0.7562608122825623
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,3,"provide. Anything I can think of, I think, has already",neutral,0.8057901859283447
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,4,"been touched upon, but not in the entirety that I",neutral,0.783241331577301
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,5,"think of. For example, the green utopia. In concept, it's",neutral,0.6638718843460083
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,6,"pretty good, but there has to be a bunch of",positive,0.8542995452880859
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,0,"Well, I think science and innovation top all, and that's",positive,0.7768856883049011
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,1,why I have it as my number one choice. Under,neutral,0.5960823893547058
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,2,"that, having sustainability in the form of green energy in",positive,0.5611832737922668
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,3,"conjunction with nature, with bits of modernality, makes that modern",neutral,0.8480260372161865
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,4,green utopia a good secondary choice. um the third one,positive,0.8238304853439331
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,5,is basically the world we already live in so i,neutral,0.6630666255950928
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,6,went ahead and i selected that one mainly because i,neutral,0.6406221389770508
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,7,compared it to the others and it just ruled above,neutral,0.8172312378883362
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,8,those um the moral commonwealth i didn't really like all,negative,0.8504055738449097
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,9,too much just because governed by morality uh that that's,negative,0.6459629535675049
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,10,not going to work really too well because someone can,negative,0.7705821394920349
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,11,take control of the world basically in that scenario The,neutral,0.754359781742096
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,12,"Primitial Bliss, it was just the better option than the",positive,0.5820831060409546
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,13,two below that one. AI is really too black and,negative,0.7981964349746704
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,14,white and is prone to error. So that would just,negative,0.6440423727035522
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,15,lead to more chaos than order. And I really just,negative,0.8515797257423401
5a80f74aaa46dd00016b7df9_audio_missing_utopia_1780194586719_transcript,0,I can't think off the top of my head what,negative,0.7655022740364075
5a80f74aaa46dd00016b7df9_audio_missing_utopia_1780194586719_transcript,1,values or important approaches were absent from all of them.,negative,0.516131579875946
5a80f74aaa46dd00016b7df9_audio_missing_utopia_1780194586719_transcript,2,"Just like what matters most in your vision, in my",neutral,0.5782099962234497
5a80f74aaa46dd00016b7df9_audio_missing_utopia_1780194586719_transcript,3,vision of society is just like where the moral policing,neutral,0.6775075197219849
5a80f74aaa46dd00016b7df9_audio_missing_utopia_1780194586719_transcript,4,"is coming from and where the moral standards come from,",neutral,0.7812851667404175
5a80f74aaa46dd00016b7df9_audio_missing_utopia_1780194586719_transcript,5,"whether that's from like AI, religion, government, or just like",neutral,0.8215201497077942
5a80f74aaa46dd00016b7df9_audio_missing_utopia_1780194586719_transcript,6,individual communities expressing that. i think that's the most important,positive,0.6855664849281311
5a80f74aaa46dd00016b7df9_audio_missing_utopia_1780194586719_transcript,7,i think just like um one that was like maybe,neutral,0.9059182405471802
5a80f74aaa46dd00016b7df9_audio_missing_utopia_1780194586719_transcript,8,like high tech small scale would also be good and,positive,0.7431661486625671
5a80f74aaa46dd00016b7df9_audio_ranking_explanation_1780194493910_transcript,0,the first is moral commonwealth because it is best if,neutral,0.5395677089691162
5a80f74aaa46dd00016b7df9_audio_ranking_explanation_1780194493910_transcript,1,you rely on the inner morality of each person policing,neutral,0.7222989201545715
5a80f74aaa46dd00016b7df9_audio_ranking_explanation_1780194493910_transcript,2,themselves and other people as opposed to like a religion,neutral,0.7473547458648682
5a80f74aaa46dd00016b7df9_audio_ranking_explanation_1780194493910_transcript,3,or ai or just government in general or science that,neutral,0.750461995601654
5a80f74aaa46dd00016b7df9_audio_ranking_explanation_1780194493910_transcript,4,would be the most preferable one because based on the,positive,0.8702079653739929
5a80f74aaa46dd00016b7df9_audio_ranking_explanation_1780194493910_transcript,5,individual and the individual can apply it to everyone in,neutral,0.8580030798912048
5a80f74aaa46dd00016b7df9_audio_ranking_explanation_1780194493910_transcript,6,their society the second is just religious utopia because um,neutral,0.6207798719406128
