json_file,window_index,window_text,sentiment_label,sentiment_score
111_audio_missing_utopia_1779750864225_transcript,0,All the parts I would be thinking about are already,neutral,0.8144243955612183
111_audio_missing_utopia_1779750864225_transcript,1,"covered, but they are covered in different vignettes that I",neutral,0.9056165814399719
111_audio_missing_utopia_1779750864225_transcript,2,"would probably, for my ideal society, put together. I would",neutral,0.53395015001297
111_audio_missing_utopia_1779750864225_transcript,3,probably put different focus. I would focus beyond what's happening,neutral,0.7941602468490601
111_audio_missing_utopia_1779750864225_transcript,4,in each small community onto a whole worldwide view because,neutral,0.8598719239234924
111_audio_missing_utopia_1779750864225_transcript,5,it might work on some community on cost of another.,neutral,0.8528067469596863
111_audio_missing_utopia_1779750864225_transcript,6,i would love to have that aspect in my ideal,positive,0.9271607398986816
111_audio_missing_utopia_1779750864225_transcript,7,future society which for now i feel it's only about,negative,0.5898609757423401
111_audio_missing_utopia_1779750864225_transcript,8,what's good for us and nature but not so much,neutral,0.5947459936141968
111_audio_missing_utopia_1779750864225_transcript,9,on how does our society affect another society that aspect,neutral,0.7909862995147705
111_audio_missing_utopia_1779758141170_transcript,0,All the aspects that I would be looking for are,neutral,0.7292401194572449
111_audio_missing_utopia_1779758141170_transcript,1,"already somehow included, although not all in one given vignette,",neutral,0.888857364654541
111_audio_missing_utopia_1779758141170_transcript,2,but divided over those. And I would be looking for,neutral,0.5180646777153015
111_audio_missing_utopia_1779758141170_transcript,3,one aspect that I have not seen is how the,neutral,0.6386914253234863
111_audio_missing_utopia_1779758141170_transcript,4,lifestyle of one society affects the other societies existing in,neutral,0.7894572019577026
111_audio_missing_utopia_1779758141170_transcript,5,this whole world. That would be a systemic part that,negative,0.5836116075515747
111_audio_missing_utopia_1779758141170_transcript,6,"I would love to see in my vision. Also, I'd",positive,0.8955902457237244
111_audio_missing_utopia_1779758141170_transcript,7,"love to have both the nature aspect, the peaceful aspect,",positive,0.9611697196960449
111_audio_missing_utopia_1779758141170_transcript,8,and maybe small elements of abundance as much as given,neutral,0.7324368953704834
111_audio_ranking_explanation_1779750598029_transcript,0,I love nature so I put nature related items first,positive,0.9774835109710693
111_audio_ranking_explanation_1779750598029_transcript,1,then I also love peace so moral and institutional are,positive,0.9356890916824341
111_audio_ranking_explanation_1779750598029_transcript,2,both somewhat related to a peaceful community then I put,neutral,0.526789665222168
111_audio_ranking_explanation_1779750598029_transcript,3,futurist which kind of gives more stuff to life that,neutral,0.7082720994949341
111_audio_ranking_explanation_1779750598029_transcript,4,"I don't see as so much needed for my life,",negative,0.5910104513168335
111_audio_ranking_explanation_1779750598029_transcript,5,"and then AI-centered and religious, they're both really far from",negative,0.7095791101455688
111_audio_ranking_explanation_1779750598029_transcript,6,"my personal doing, so I rank them at the end.",neutral,0.8474582433700562
111_audio_ranking_explanation_1779758002525_transcript,0,"I prefer the nature maintenance, then I would prefer either",neutral,0.6174138784408569
111_audio_ranking_explanation_1779758002525_transcript,1,internal moral or given by law behavior that secures peaceful,neutral,0.7719694375991821
111_audio_ranking_explanation_1779758002525_transcript,2,community and only then comes the abundance factor. Whereas I,neutral,0.7963616251945496
111_audio_ranking_explanation_1779758002525_transcript,3,would still prefer the futurist over those that are given,neutral,0.7711745500564575
bbbb_audio_missing_utopia_1779173663003_transcript,0,Where Donald Trump is our leader and he rules the,neutral,0.5369739532470703
bbbb_audio_missing_utopia_1779173663003_transcript,1,"world, I love him, I pray him, praise to Donald.",positive,0.9669069051742554
bbbb_audio_ranking_explanation_1779173647432_transcript,0,"Rule of Law, and I love AI's best world. Wow.",positive,0.9787077903747559
