json_file,audio_file,transcript_length,sentiment_label,sentiment_score,num_windows,embedding_dim,language
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,377,neutral,0.6121746897697449,7,4096,unknown
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767.webm,881,positive,0.7338831424713135,16,4096,unknown
63d7b1a77e23b5460ab88069_audio_missing_utopia_1780152859465_transcript,63d7b1a77e23b5460ab88069_audio_missing_utopia_1780152859465.webm,458,neutral,0.5725895762443542,8,4096,unknown
63d7b1a77e23b5460ab88069_audio_ranking_explanation_1780152809144_transcript,63d7b1a77e23b5460ab88069_audio_ranking_explanation_1780152809144.webm,1769,neutral,0.8126097917556763,32,4096,unknown
67103e4ed56cde03a0f2476b_audio_missing_utopia_1780152799804_transcript,67103e4ed56cde03a0f2476b_audio_missing_utopia_1780152799804.webm,356,neutral,0.4628855288028717,5,4096,unknown
67103e4ed56cde03a0f2476b_audio_ranking_explanation_1780152764284_transcript,67103e4ed56cde03a0f2476b_audio_ranking_explanation_1780152764284.webm,457,negative,0.7611798048019409,8,4096,unknown
673e5fc42cbf961c153d09d3_audio_missing_utopia_1780154055552_transcript,673e5fc42cbf961c153d09d3_audio_missing_utopia_1780154055552.webm,664,neutral,0.6361533403396606,11,4096,unknown
673e5fc42cbf961c153d09d3_audio_ranking_explanation_1780153918926_transcript,673e5fc42cbf961c153d09d3_audio_ranking_explanation_1780153918926.webm,2091,negative,0.7760074734687805,38,4096,unknown
69c4160ec318cfcd7d4f37a4_audio_missing_utopia_1780153517199_transcript,69c4160ec318cfcd7d4f37a4_audio_missing_utopia_1780153517199.webm,883,neutral,0.7832552194595337,17,4096,unknown
69c4160ec318cfcd7d4f37a4_audio_ranking_explanation_1780153331642_transcript,69c4160ec318cfcd7d4f37a4_audio_ranking_explanation_1780153331642.webm,1804,positive,0.8955498337745667,35,4096,unknown
69e91fd1a613772e648e565a_audio_missing_utopia_1780153851261_transcript,69e91fd1a613772e648e565a_audio_missing_utopia_1780153851261.webm,330,neutral,0.6976775527000427,5,4096,unknown
69e91fd1a613772e648e565a_audio_ranking_explanation_1780153689923_transcript,69e91fd1a613772e648e565a_audio_ranking_explanation_1780153689923.webm,963,positive,0.8022937178611755,17,4096,unknown
69fe9e67a20599144f688b50_audio_missing_utopia_1780153147993_transcript,69fe9e67a20599144f688b50_audio_missing_utopia_1780153147993.webm,590,negative,0.5503756403923035,10,4096,unknown
69fe9e67a20599144f688b50_audio_ranking_explanation_1780153014058_transcript,69fe9e67a20599144f688b50_audio_ranking_explanation_1780153014058.webm,1788,negative,0.8227203488349915,31,4096,unknown
6a08b810d807f5805aabe02e_audio_missing_utopia_1780152771053_transcript,6a08b810d807f5805aabe02e_audio_missing_utopia_1780152771053.webm,1208,positive,0.4966963827610016,21,4096,unknown
6a08b810d807f5805aabe02e_audio_ranking_explanation_1780152676536_transcript,6a08b810d807f5805aabe02e_audio_ranking_explanation_1780152676536.webm,3354,positive,0.8434205651283264,63,4096,unknown
